estimator,time,att,ci_lo,ci_hi
gsynth_ife,-17,0.0165727803502371,-0.00840478131906638,0.0415503420195406
gsynth_ife,-16,-0.00248793890338428,-0.0338949934823188,0.0289191156755503
gsynth_ife,-15,-0.00574553551243867,-0.0357706835639645,0.0242796125390872
gsynth_ife,-14,-0.0104912622119971,-0.0357877316265667,0.0148052072025724
gsynth_ife,-13,-0.00639187608195484,-0.0243869038452503,0.0116031516813407
gsynth_ife,-12,0.00841468943773929,-0.0137158832423639,0.0305452621178425
gsynth_ife,-11,-0.0081578088370369,-0.0272074588469734,0.0108918411728996
gsynth_ife,-10,-0.00619711163156891,-0.0280615275901716,0.0156673043270338
gsynth_ife,-9,-0.00279219193018545,-0.025607461981819,0.0200230781214481
gsynth_ife,-8,0.0168111339807882,-0.00402101795488287,0.0376432859164593
gsynth_ife,-7,-0.00467517294558313,-0.0227815881813409,0.0134312422901747
gsynth_ife,-6,0.00352199153559543,-0.01670395984107,0.0237479429122608
gsynth_ife,-5,0.00934674221886262,-0.00833655884516142,0.0270300432828867
gsynth_ife,-4,0.00112688642329117,-0.0149376724905856,0.017191445337168
gsynth_ife,-3,-0.000751992755071007,-0.0159535612693992,0.0144495757592572
gsynth_ife,-2,-0.00910127155759022,-0.0221549906957802,0.00395244758059973
gsynth_ife,-1,-0.00320924038043824,-0.0197767042751824,0.0133582235143059
gsynth_ife,0,0.00501425747658455,-0.014690833316322,0.0247193482694911
gsynth_ife,1,0.0240372287188125,-0.00763628834275599,0.0557107457803811
gsynth_ife,2,0.0261851765623109,-0.014824326520005,0.0671946796446268
gsynth_ife,3,0.00907242459400622,-0.0367827145435748,0.0549275637315872
gsynth_ife,4,0.0147345541610004,-0.0404949774652969,0.0699640857872977
gsynth_ife,5,0.0187936385170782,-0.0503060406889447,0.087893317723101
gsynth_ife,6,-0.00128244684683726,-0.0989641822865094,0.0963992885928349
matrix_completion,-17,0.0189365155374456,0.00924545456694904,0.0286275765079422
matrix_completion,-16,-0.00142642933278953,-0.0108262282125546,0.00797336954697556
matrix_completion,-15,-0.00129926171038786,-0.00728010939491778,0.00468158597414207
matrix_completion,-14,-0.00761941434018957,-0.0178236617746537,0.0025848330942746
matrix_completion,-13,-0.00564992177795107,-0.0126485681892622,0.00134872463336003
matrix_completion,-12,0.00896731641543844,-0.00793408265943012,0.025868715490307
matrix_completion,-11,-0.00304796532212142,-0.0111614934313972,0.00506556278715438
matrix_completion,-10,-0.00129391485685249,-0.00884631824647931,0.00625848853277434
matrix_completion,-9,-0.00401679683544018,-0.0132537764837136,0.00522018281283321
matrix_completion,-8,0.0127408652106381,-0.00143887988008863,0.0269206103013649
matrix_completion,-7,-0.00316439769815391,-0.0198840630653407,0.0135552676690328
matrix_completion,-6,0.00117280570785572,-0.00773820760683315,0.0100838190225446
matrix_completion,-5,0.00790857868029709,0.00235324053634028,0.0134639168242539
matrix_completion,-4,-0.000432897458128045,-0.0108219459481416,0.00995615103188556
matrix_completion,-3,-0.00159039214574981,-0.00719283237695129,0.00401204808545168
matrix_completion,-2,-0.0105706166246908,-0.0192096635231194,-0.00193156972626215
matrix_completion,-1,-0.00743559778770362,-0.0171556014553672,0.00228440587995998
matrix_completion,0,8.37048810728547e-05,-0.0133223855037956,0.0134897952659413
matrix_completion,1,0.0164660257284017,-0.017044157421257,0.0499762088780603
matrix_completion,2,0.0184174451370751,-0.0220720680878475,0.0589069583619977
matrix_completion,3,0.00080167028284169,-0.0495478548057684,0.0511511953714518
matrix_completion,4,0.00638361699025751,-0.0471398450669799,0.0599070790474949
matrix_completion,5,0.0100510008231317,-0.0419615526590756,0.0620635543053391
matrix_completion,6,-0.0317241199219483,-0.0763923142110081,0.0129440743671115
