spec,att,se,pct,t_stat
primary,0.0275659204188017,0.0419138934703777,0.0279493757271787,0.657679784348446
drop_adjacent_donors,0.0288564761133921,0.0396953012930766,0.0292768580584679,0.726949416515076
drop_oklahoma_medical,0.027565335508418,0.041063030346846,0.0279487744690907,0.671293260034211
drop_new_hampshire,0.0275659087325649,0.0431089042122933,0.0279493637143191,0.639448142704215
timing_adjusted_pool,0.0253614120221652,0.0463604470937301,0.0256857487062001,0.547048478003033
window_2000_2023,0.0415888828533687,0.0626707306860345,0.042465815069954,0.663609349980602
all_seven_treated,0.0225289491008918,0.0317874701589002,0.0227846424316818,0.708736775473901
beverage_beer,0.0385156834824971,0.0520548179498988,0.0392670275564062,0.73990621808662
beverage_wine,-0.0295396661590133,0.0691192498699189,-0.0291076346935659,-0.427372493402437
beverage_spirits,0.0339702260997112,0.048960014867772,0.0345538035677642,0.693836106697594
