fips,state,year,gap,gap_lo,gap_hi
6,California,2018,0.0882456221631617,0.0510552694223081,0.117999289284781
6,California,2019,0.104118926164569,0.0584489329543514,0.131092962613681
8,Colorado,2014,0.000528482548764808,-0.0759216380929295,0.0670225981497361
8,Colorado,2015,0.00128945446947948,-0.0688783350486555,0.0706867232823776
8,Colorado,2016,0.00900539943981471,-0.0635118028096362,0.0875880508325053
8,Colorado,2017,0.0345409637221239,-0.0662923260588644,0.0894981259192673
8,Colorado,2018,0.0543296342145396,-0.0635665098302973,0.0990062153567439
8,Colorado,2019,0.0201887669142009,-0.104333770867534,0.0658948993807418
25,Massachusetts,2018,0.0158042198541029,0.00843323698507392,0.0242272531577843
25,Massachusetts,2019,0.0148012097501948,0.00871525034304943,0.0221154964326449
41,Oregon,2015,0.0129176355894369,-0.0619807093198521,0.0779510634532825
41,Oregon,2016,0.0290908168688084,-0.0546201256423575,0.0968343937869141
41,Oregon,2017,0.0325588987069245,-0.0546598006385952,0.0882334267363509
41,Oregon,2018,0.0259610016635197,-0.0731652657183843,0.0751105598764801
41,Oregon,2019,0.00821226158626454,-0.0994817240846126,0.0554314214577307
53,Washington,2014,-0.0153623735325819,-0.0859380159374413,0.0860671551423861
53,Washington,2015,-0.00858326695322309,-0.0839244809034431,0.105102121942552
53,Washington,2016,-0.0132390576235173,-0.0989107169474325,0.10939521373421
53,Washington,2017,-0.0248994436437805,-0.127965422977699,0.0953892873024423
53,Washington,2018,-0.0174769886303116,-0.125847637178668,0.117418345456431
53,Washington,2019,-0.0248977880221222,-0.151510059967644,0.115127644035605
