fips,state,t0,estimator,att,pre_rmspe,pct
2,Alaska,2016,classic_scm,-0.0136950727462066,0.0521067462563662,-0.013601721872348
2,Alaska,2016,ridge_ascm,-0.0134800571156071,0.0520721496970571,-0.0133896080214747
6,California,2018,classic_scm,0.0961823041386452,0.00711256002645299,0.100959755219861
6,California,2018,ridge_ascm,0.0962121539811855,0.00711147758263098,0.100992619185687
8,Colorado,2014,classic_scm,0.0199800118235937,0.0183518922522233,0.0201809482661992
8,Colorado,2014,ridge_ascm,0.0199566637311135,0.018340714366285,0.0201571292651377
25,Massachusetts,2018,classic_scm,0.0153027425275873,0.00678465709481775,0.0154204290344806
25,Massachusetts,2018,ridge_ascm,0.0152740560288066,0.00678337770845174,0.0153913005953796
32,Nevada,2017,classic_scm,0.00513171470328211,0.06015110450881,0.00514490450362559
32,Nevada,2017,ridge_ascm,0.0319142702225163,0.0205007291548158,0.0324289916033247
41,Oregon,2015,classic_scm,0.0217484501299237,0.0150308222466382,0.0219866715189889
41,Oregon,2015,ridge_ascm,0.0217076714776426,0.0150273747612651,0.0219449971295935
53,Washington,2014,classic_scm,-0.0174098568067228,0.0148893800241623,-0.0172591809319875
53,Washington,2014,ridge_ascm,-0.0132565398375672,0.0110700545919991,-0.0131690589048228
