treated_fips,treated,donor_fips,weight,donor
2,Alaska,20,0.0111,Kansas
2,Alaska,33,0.3278,New Hampshire
2,Alaska,48,0.6611,Texas
6,California,12,0.2713,Florida
6,California,13,0.1328,Georgia
6,California,22,0.1025,Louisiana
6,California,27,0.1953,Minnesota
6,California,38,0.0324,North Dakota
6,California,45,0.1086,South Carolina
6,California,47,0.0287,Tennessee
6,California,48,0.012,Texas
6,California,49,0.1164,Utah
8,Colorado,12,0.0634,Florida
8,Colorado,13,0.3457,Georgia
8,Colorado,22,0.0725,Louisiana
8,Colorado,27,0.1731,Minnesota
8,Colorado,33,0.2318,New Hampshire
8,Colorado,37,0.0116,North Carolina
8,Colorado,55,0.1018,Wisconsin
25,Massachusetts,12,0.1258,Florida
25,Massachusetts,13,0.1306,Georgia
25,Massachusetts,15,0.09,Hawaii
25,Massachusetts,22,0.0536,Louisiana
25,Massachusetts,27,0.042,Minnesota
25,Massachusetts,33,0.1353,New Hampshire
25,Massachusetts,45,0.1918,South Carolina
25,Massachusetts,47,0.081,Tennessee
25,Massachusetts,48,0.1499,Texas
32,Nevada,13,0.3319,Georgia
32,Nevada,33,0.6681,New Hampshire
41,Oregon,10,0.0479,Delaware
41,Oregon,12,0.0524,Florida
41,Oregon,15,0.2781,Hawaii
41,Oregon,19,0.0749,Iowa
41,Oregon,21,0.0999,Kentucky
41,Oregon,22,0.2336,Louisiana
41,Oregon,38,0.1801,North Dakota
41,Oregon,56,0.033,Wyoming
53,Washington,15,0.3254,Hawaii
53,Washington,20,0.2657,Kansas
53,Washington,27,0.0188,Minnesota
53,Washington,45,0.3901,South Carolina
